Audio_ID,Transcription
bn_103,বাগলিহার জলবিদ্যুৎ প্রকল্প নিয়ে ত্রিপাক্ষিক সমস্যা
bn_104,জয়া বচ্চনের রাজ্যসভার সংসদ পথ খার
bn_106,তাসলিমা নাসরিনের উপন্যাস লজ্জার উপন্যাসের ধাক্কা
bn_108,বৃহত্তর নাগাল্যান্ড
bn_109,রাজ ঠাকুরের নতুন রাজনৈতিক দল
bn_111,মুম্বাইয়ে ডান্স বার নিষিদ্ধ
bn_119,বিতর্কিত তাজমহল
bn_127,মহাজাগতিক বিরল ঘটনা
bn_135,ভারতের কৃষি বান্ধব কেন্দ্রীয় বাজ
bn_142,বেআইনি গাছ কাটা
bn_144,ভোপাল গ্যাস দুর্ঘটনা
bn_145,বেনজির ভুট্টো হত্যা
bn_146,রাম জন্মভূমি মামলার রায়
bn_152,ভারতে ক্ষেপণাস্ত্রের সফল পরীক্ষা
bn_155,মুম্বাই তাজ হামলা
bn_172,ভারতে কন্যা ভ্রুণ হত্যা
bn_173,2008 অলিম
bn_181,বেস্ট উইকেট নেওয়া প্রথম ক্রিকেটার
bn_182,সাকিবের বিন মৃত্যু
bn_183,গৌহাটি 2008 বিস্ফোরণ কিস্ত
bn_195,2003 সালে এশিয়ান কাপ বিশ্ব জয়
bn_197,ভুজ ভূমিক
bn_208,মহেন্দ্র সিং ধোনি রাষ্ট্রীয় সম্মান
bn_210,পশ্চিমবাংলায় নিক দুর্ঘটনা
bn_220,স্টিভ ও আন্তর্জাতিক ক্রিকেট অবসর
bn_225,মেকানিক ভার্সেস বিতর্ক
bn_26,সিঙ্গুরের জমি অতিক্রম সমস্যা
bn_28,ইরানের পারমাণবিক কর্মসূচি
bn_30,রেলমন্ত্রী হিসেবে লালুপ্রসাদ
bn_32,কংগ্রেসের সঙ্গে বাম ও শরীর দলগুলির সম্পর্কের টানাপোড়েন
bn_39,ইরাকে মার্কিন সেনাবাহিনীর উপর আক্রমণ
bn_50,কলকাতা বইমেলা 2007
bn_52,2006 7 এর বাজেট প্রস্তাব
bn_55,টেনিস তারকা সানিয়া মির্জা
bn_60,আল-কায়েদার সন্ত্রাসবাদী ক্রিয়া-কলাপ
bn_63,নেতাজি অন্তর্ধান রহস্য
bn_67,বপন স্কেলের কারির পুনরুজ্জীবন
bn_70,বলিউডের রিম
bn_72,স্ট্যাম্প পেপার কেলেঙ্
bn_73,ফুটবল বিশ্বকাপের মাঠের রাজ্যের কিনে দিন জিদানের কত
bn_75,ব্রিটেনের নতুন প্রধানমন্ত্রী
bn_76,গুর্জর ও মিনা সম্প্রদায়ের মধ্যে সংঘর্ষ
bn_77,হিজবুল্লাহ গেরিলাদের আক্রমণ
bn_80,হাটবেন বিরুদ্ধে বাবরি মসজিদ ধ্বংসের মামলা দায়ের
bn_83,লালু প্রসাদ যাদব এবং রাম বিলাস পাশওয়ান এর নির্বাচনী প্রচার
bn_84,স্বামী রামদেবের বিরুদ্ধে বৃন্দা ক্যারাটের অভিযোগ
bn_85,মুম্বাই বিস্ফোরণে অভিযুক্ত আবু সালেম জেল হেফাজ
bn_86,মুম্বাই ও দিল্লি বিমানবন্দরের বেসরকারিকরণ
bn_93,খুশির বিনিময়ের সংসদে প্রশ্ন
bn_96,প্রমোদ মহাজন এর হত্যাকারী
