Audio_ID,Transcription
hi_103,बगलिहार जल विद्युत परियोजना को लेकर विपक्ष की समस्या
hi_104,जया बच्चन राज्य सभा के सांसद पद से बार
hi_106,तस्लीमा नसरीन के उपन्यास लज्जा पर प्रतिबंध
hi_108,ग्रेटर नागालैंड
hi_109,राज ठाकरे की नई राजनीतिक पार्टी
hi_111,मुंबई में डांस बार पर प्रति
hi_119,ताज महल पर
hi_127,दुर्लभ खगोलीय घटना
hi_135,भारत का कृषि सहायक केंद्रीय
hi_142,अवैध वर्षों की काटा
hi_144,भोपाल गैस दूर
hi_145,बेनजीर भुट्टो की हत्या
hi_146,राम जन्मभूमि मामले का फ
hi_152,भारत में सफल मिसाइल परी
hi_155,मुंबई ताज
hi_172,भारत में कन्याओं की भ्रूण हत्या
hi_173,2008 ओलंपिक
hi_181,पहले 700 टेस्ट विकेट लेने वाले क्रिकेटर
hi_182,स्टीव अरविंद की मृत्यु
hi_183,2008 गुवाहाटी बम विस्फोट से
hi_195,2003 एशिया कप वाइज
hi_197,भुज बुक
hi_208,महेंद्र सिंह धोनी राष्ट्रीय पुरस्कार
hi_210,मेक दुर्घटना पश्चिम बंगाल
hi_220,अंतरराष्ट्रीय क्रिकेट सानिया
hi_225,टाइटेनिक वर्सिज
hi_26,सिंगूर और नंदीग्राम भूमि विव
hi_28,ईरान का परमाणु कार्यक्रम
hi_30,भारत के रेल मंत्री के रूप में लालू प्रसाद
hi_32,कांग्रेस और सहयोगी दलों के साथ उसके
hi_39,बगदाद में
hi_50,कोलकाता पुस्तक मेला
hi_52,बजट 2006 200
hi_55,सानिया मिर्जा टेनिस
hi_60,अल-कायदा की आतंकवादी गतिविधियां
hi_63,नेताजी की मृत्यु का पता लगा
hi_67,बफर घोटाले का एनर्जी की
hi_70,बॉलीवुड में रे
hi_72,स्टांप पेपर घोटाला
hi_73,विश्व कप मैच इन इंडियन
hi_75,ब्रिटेन का नया प्रधानमंत्री
hi_76,गुर्जर और मीणा समुदाय के बीच
hi_77,गोरिल्ला की
hi_80,आडवाणी के विरुद्ध बाबरी मस्जिद विध्वंस मामला दी
hi_83,लालू प्रसाद यादव राम विलास पासवान का चुनाव
hi_84,स्वामी रामदेव के विरोध वृताकार
hi_85,मुंबई बम विस्फोट कांड के उपयोग तब्बू साजन
hi_86,मुंबई और दिल्ली हवाई अड्डा का निजी
hi_93,ऋषभ के बदले में संसद में प्रश्न
hi_96,प्रमोद महाजन का हत्या
